지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2)
90,속초,2025-02-01,1.6,-1.1,3.5,,4.1,1.8,67.3,.2,4.75
90,속초,2025-02-02,2.9,-.5,6,,4.7,2.1,69.8,4.1,9.93
90,속초,2025-02-03,-1,-6.1,4.2,,8.1,3.9,31,9.5,13.82
90,속초,2025-02-04,-6.1,-10.1,-2.6,,8.5,2.8,30.8,9.6,14.4
90,속초,2025-02-05,-6.3,-10.1,-2.8,,9.8,4.9,23,9.6,14.55
90,속초,2025-02-06,-3.6,-8.3,1,,11.9,5.1,28.1,9.5,14.02
90,속초,2025-02-07,-6.2,-9.5,-3.8,,9.6,3.9,33.1,6.7,12.4
90,속초,2025-02-08,-5.4,-11.5,.7,,4.9,1.9,34.3,9.7,15.02
90,속초,2025-02-09,-2,-7.3,3.1,,6.6,2.7,36.6,9.6,14.9
90,속초,2025-02-10,0,-4.5,4.4,,6.2,2.9,31.5,9.7,14.37
90,속초,2025-02-11,2.2,-3,7.1,,6.8,2.1,39.6,9.6,14.67
90,속초,2025-02-12,4.3,.3,8.9,,9.7,3,48,2.2,5.17
90,속초,2025-02-13,3.1,-2.9,7.3,,8.6,4.1,22.8,9.7,15.89
90,속초,2025-02-14,7.5,2.4,13,,7.9,3.8,28.9,9.2,14.98
90,속초,2025-02-15,5.9,.8,10.2,,4.1,1.7,33.8,4.9,8.96
90,속초,2025-02-16,7,2.8,11.6,,6.9,2.7,45.4,7.9,12.71
90,속초,2025-02-17,1.9,-1.3,5.9,,6.6,3.9,24.6,9.7,16.69
90,속초,2025-02-18,-.3,-5,4.6,,6.2,3,24.6,9.6,16.73
90,속초,2025-02-19,-1.7,-5.5,1.8,,5.2,2.4,35.4,9.7,16.64
90,속초,2025-02-20,-1.7,-4.8,3.6,,6,2.7,37.5,9.8,16.84
90,속초,2025-02-21,-1.3,-5.2,2.8,,5.3,2.5,37.3,9.9,16.54
90,속초,2025-02-22,-1,-4.9,2.8,,6.1,2.3,38,10,17.01
90,속초,2025-02-23,-1,-4.9,3.2,,5.2,3.2,25.4,9.7,17.28
90,속초,2025-02-24,1.1,-5.2,7.3,,4.3,2.2,28,9.7,17.59
90,속초,2025-02-25,4.8,-.2,10.1,,12.8,3.8,30.8,5.6,13.27
90,속초,2025-02-26,7,3.3,11.7,,6.4,3,24.9,9.6,17.56
90,속초,2025-02-27,9.8,3.2,15.7,,10.1,3.2,17.4,9.5,17.2
